gene,mean_abs_grad
DGCR6,0.8684676784434741
HILPDA,0.8681981519079868
IL3,0.867887512437838
GDPD3,0.8670657286012279
CCL18,0.8637418155151088
NLGN2,0.8631144655991617
B4GALNT4,0.8627452655243834
MAP2K4P1,0.8624294026314336
TAS2R13,0.861705550877871
TCAP,0.8608572166915363
SCARNA2,0.8602172111845616
SFTA2,0.8596414286163143
IL17A,0.8590327305386126
GOLGA8O,0.8581497980342101
FAM20C,0.8575143660964574
LOC102725395,0.8572186628534053
LMNTD2,0.8570005021826302
SULT1A2,0.8564614065448273
LINC00336,0.8558966260828093
LOC101928605,0.8557730820121195
CTAGE11P,0.8541960112921888
FXYD1,0.8540146529552594
LOC101928353,0.8535071239314175
SERHL2,0.8511497020337152
MIRLET7DHG,0.8511077368165576
CXCL17,0.8485969939328535
AMH,0.8480180396629307
LOC101928346,0.8474857594473084
CCDC102A,0.8473100539851813
SCX,0.8471541515575236
LOC91450,0.8468867022832589
CHN1,0.8464619979021251
LCAT,0.8464413009642608
CYGB,0.8459631421060381
LOC100233156,0.8455716143109057
BRICD5,0.8451138922599295
C12orf60,0.845068707098691
ACOXL,0.8448031222515072
C1QA,0.8426757532504863
GeneID:102723992,0.8423089766471342
CCL20,0.8413438088141137
XCL1,0.8406289793362983
SENP3,0.8392616126772475
PTGDS,0.8390534939942406
SCGB1A1,0.8389190641666522
SLC25A30-AS1,0.8380297901507578
SRRD,0.8376003627435382
WASH1,0.8362406250060539
HAR1B,0.8340491929283944
GGTLC2,0.8337728084038981
LOC101928740,0.8331723909932012
KLF2,0.8325880695191905
FKBP1AP1,0.8321358007518883
LOC101060458,0.8303215363133413
C17orf97,0.8295487033833825
CLCN1,0.8293614925805224
CYTL1,0.8292723046699435
LOC101928659,0.8285123978668548
SNORD97,0.8284251916786172
SUCNR1,0.8279228302677347
PAGE5,0.8270968332610492
LOC553103,0.8269374857580851
DOC2GP,0.8259892387122911
LOC100335030,0.8257160429162017
LOC101927632,0.8249402567942863
MT1DP,0.8246895750666661
LOC101928891,0.8243949870745164
MIR1307,0.8243793896426862
TWIST1,0.823993403102673
PGAM4,0.823890890828897
LOC100996643,0.8238539466056235
BARX2,0.8232948909090513
PMS2P9,0.8224271405734204
MFI2,0.8204104916766073
C2CD4C,0.8202536896699775
CLK2P,0.8202520475363334
RNU4ATAC,0.8200492024103919
FCGR3B,0.8191903428663051
BEX1,0.8191868486026639
IL1RL1,0.818844762651603
GUCY1B2,0.8178291209654063
HIST1H4J,0.8166299793578504
SFT2D3,0.8161481474553073
LOC101060363,0.8160272727977187
MEF2BNB-MEF2B,0.8154551746249458
LOC102725521,0.8151944026671519
C19orf35,0.8142048960676211
MARCH2,0.8129639973474018
BTF3P11,0.8126164183836271
HSD52,0.8121878460966923
LOC101927163,0.812171987588315
ID3,0.8110174739895112
LOC101929500,0.8109475064208183
CYR61,0.810924094665236
LOC101929719,0.810834078120399
HES7,0.8103192427369564
GZMH,0.8096574685539731
NANOS3,0.8096048710890279
CDH26,0.807757921947829
RPL23AP32,0.8064047517989915
IL10,0.8058264577878725
FRMD8P1,0.8056608766093818
SH2B2,0.8053435853628592
LOC100996693,0.8051816895257724
LOC102724594,0.8042747304116007
EME1,0.8039215165456846
YWHAEP1,0.8034144746755446
SPSB1,0.8034065600832636
NUDT4P1,0.8032356769698218
LOC101930660,0.8024254240140418
SECTM1,0.8022341097689305
SERINC2,0.8020107001352573
LOC102723927,0.8008793542422199
SMARCD3,0.7994837241550867
RAD9B,0.7987010034238714
BMP8B,0.7982418776134897
LINC00866,0.7981652459713392
AGER,0.7976500937015079
MUC4,0.7973412609567394
TUBA3D,0.7970485582021201
SCARF2,0.7968118175837431
LOC100289656,0.796225756545348
LOC102724005,0.7959354110470885
CECR5-AS1,0.7954058484869728
FGD1,0.7953543511380576
SRRM5,0.7951405322837723
SPP1,0.7948202424406762
EPPK1,0.7946071869515122
LOC440292,0.7945047806218423
CNIH2,0.7944510650682062
PDXK,0.7935462428088168
LINC00598,0.7935313936072358
CCDC183,0.7932111293042367
TTC7B,0.7931833208682525
LOC102724400,0.792633673386671
RNU6-39P,0.7917268911613193
LOC102724272,0.7916967756032397
SLC25A53,0.7916918879854178
CISH,0.7910976446566879
TMEM88,0.7907377099615429
DIRAS2,0.7906245257109394
KCNQ2,0.7905647760729051
LOC102724984,0.7898774409824736
BRI3,0.7898282895387642
GNRH1,0.7896525301586547
RNVU1-6,0.7883034672357863
LOC101929289,0.788003552714518
TEKT4P2,0.787974105928608
MYC,0.7873065473866192
MIOX,0.7869534517618929
METTL8,0.7868949961554398
C6orf147,0.7861327481767928
LOC100287632,0.7860261513793559
LOC101928745,0.7857086368934669
CCL4L1,0.7854523240474233
TMEM191C,0.7854151953678936
FSTL3,0.7849953341458944
KLHL17,0.7848888574815064
RPS4Y1,0.7832062248110321
GNG8,0.7824101967433508
LOC102723467,0.7821803623563882
FUNDC2P2,0.7813916529453915
PPP4R1-AS1,0.7802030215607153
PIN1P1,0.779788177548882
FTH1P3,0.7795269789768754
QRICH2,0.779132378802667
C17orf96,0.7787964395016171
S100A12,0.7785958031211012
IGFBP2,0.7784719828389921
HIST1H4K,0.7784257968843231
DSCR9,0.7782209974679964
PPP1R14B,0.7779681628047921
CALML6,0.7772209674025726
MYH15,0.776386776754398
LOC102724217,0.7761097452141112
TNFRSF4,0.7759603488896816
CALD1,0.7756435268242001
EHBP1L1,0.7756405462002874
LYPLA2P2,0.7755074454036724
BBOX1-AS1,0.7754944095489784
ACOT1,0.7748282330100161
PVT1,0.7746775294109919
HMHB1,0.7741751358385058
CXCL1,0.7738803435255801
PLA2G2C,0.7738733625657338
ANKRD9,0.7737879763458897
CKLF-CMTM1,0.7735122104592985
LOC101927278,0.7731388605917227
OTUD5,0.7723940754179162
ADAMTS17,0.7721177523788387
SNORD13,0.7720577473398343
INSM2,0.7719308953536185
RPS4Y2,0.7713993208014169
UNQ6494,0.7707699267317806
LOC100506674,0.7699862572332582
LOC283683,0.7699078585947671
ASIC1,0.7693948848006168
CACNA1C,0.7673522691925921
ZBED2,0.7668430327659693
REC114,0.7667184529024569
ANKRD24,0.7666931246936702
MZB1,0.7665946193773344
CTSG,0.7665067954971212
PCDHB9,0.7662462562379889
FBXL22,0.7660463406557662
LOC101930085,0.7659448405265749
LOC100996351,0.7657419802657611
CCL4,0.7656490285016283
LOC102725383,0.7654642354946173
LOC101930129,0.7651048834920557
ARID3A,0.7646299644424337
HRASLS2,0.7645828599902023
FBXO2,0.7641228525735094
CACNA1F,0.7640686205423564
HNRNPCL1,0.7637489228511387
APOC1,0.7635949047150818
IGLL5,0.7634190412827252
ZNF433,0.7634172865834684
LOC101928066,0.7634017146917353
SLC6A9,0.7631350486471119
CEBPB-AS1,0.7630011759720099
S100A8,0.7628312435177342
HES1,0.7623313869282167
RPSAP9,0.7621917005702941
LOC100505585,0.7619353754271666
NAALADL1,0.7619218609321362
LOC101930325,0.7613559841378063
NRARP,0.7609051342647818
C11orf85,0.7606578304514721
ZNF446,0.7601060811145005
KIAA1683,0.7598937795311628
IL2RA,0.759680549045038
AQP4-AS1,0.7595410745753276
LOC441454,0.7594524286823628
LYL1,0.759272377620028
TENC1,0.7589943263677202
C9orf135,0.7586838240573517
LOC100499484,0.7586597170435734
GNG4,0.7580832798920992
ECI1,0.7580491394039185
SUSD2,0.7578969715059997
SMPD5,0.7577796403003872
LOC101930071,0.7577281344381064
CEBPD,0.7576839046656816
LOC102723346,0.7575292385679044
LOC728392,0.7562833292590257
LRRC34,0.7561087343181534
TYROBP,0.7560901023444281
CAPN3,0.7560296678534223
MAMDC4,0.7557291526669098
LAIR2,0.7554102438809106
H2BFXP,0.7553828308434652
ENTPD3-AS1,0.7548982566912481
LOC100996273,0.7538445640442413
LOC102724936,0.7535224674757648
LOC391722,0.7534200876321214
VCAN,0.7532852605141352
CSF1,0.7527126941062506
CCL3,0.752031209589891
LOC101927848,0.7516538924939146
CPA3,0.7513247667231864
PKD1P1,0.7505326529118526
PIPSL,0.7504623902131499
FLJ42351,0.7504014458661337
LOC100653061,0.7500902350545557
NTN5,0.7500727457636887
EFNA3,0.7498461994277323
LAG3,0.7493914192175586
BOLA2B,0.7491169634433505
VWA1,0.7488176883704368
RRM2,0.7486506778924437
LIN7B,0.7485325104851368
OSTCP1,0.7484179338262822
LOC102723354,0.7479038807265513
SHB,0.7477323468136009
LOC644936,0.7472576510033452
LOC101926889,0.7468439988627051
LOC101929687,0.7465449281105674
LOC102724002,0.745992135413337
SNORA52,0.7459827763866812
FAM132A,0.74490968367118
RBP5,0.7446283774753992
ZNF683,0.7445299762113105
PYGM,0.7443614049496118
APOE,0.7439441166559028
TAS2R43,0.743830152959376
LINC00174,0.743692233597794
LOC101927322,0.7435509382137606
LOC102724334,0.7431526252661921
LOC100996740,0.742788632533413
RPL13AP6,0.7420634914779166
ZNF716,0.741398675185602
DRD4,0.7409298677865988
MSANTD1,0.73992996542166
LOC101928054,0.7395277788927134
MAGEH1,0.7393763800354931
CHPT1,0.7389974226977316
ARSJ,0.7389892536504101
LOC728026,0.7389016984141802
NCF1C,0.7387758670859147
GTF2H2C_2,0.7384568126267697
UBE2NL,0.738188801470371
LOC101929017,0.7374818582069511
EGR2,0.7374587434732377
LOC101060091,0.7374098010799518
HIST2H2AA3,0.7368223930379224
NEDD8-MDP1,0.7356780462895831
NXPH4,0.7353358553403457
FITM1,0.7347119533374936
ITGA7,0.7343618506337637
BAMBI,0.7339720945646193
C8orf82,0.7338667955824819
NUDT3,0.7337390544225186
IL4,0.7335273658015089
LOC389834,0.7326661423795555
SLC17A3,0.7322983895769404
CD79A,0.7317441505534762
LMO1,0.7314881110810634
LOC606724,0.7314530927702895
RNU5F-1,0.7310029097775755
FLJ31356,0.7306692775986212
C4orf50,0.7293946281131827
METRN,0.7293203111605638
ZCCHC24,0.729273853724123
GNAZ,0.7289810298905253
C15orf48,0.7287599775132121
MEX3B,0.7286365810075273
MT3,0.7279227438097767
IFNL1,0.7278891680415185
LOC102724362,0.7276247362824176
OTOF,0.727478976111057
CXCR6,0.7271657429021686
ANP32C,0.7269685194353555
KLRC1,0.7269595132404101
IL21,0.7262933792682762
RNU4-1,0.7255457780622931
ZCCHC12,0.7255285432264666
NPW,0.7253195060458971
SNORA1,0.7250402449497353
CAPN10,0.7250063872944805
CCL22,0.7248497404202918
LTA,0.7243545671278202
CXCL13,0.7242052502614701
LOC100133286,0.7237205871918783
TMEM191A,0.7235786353327589
NPIPA5,0.7231232364846801
CYP4F35P,0.7230016599473887
LOC728673,0.722195081927788
CRIP2,0.7220745582100507
RGPD3,0.7220433614545314
IL13,0.721787985078711
ANKRD16,0.7216037170625829
LINC00384,0.7212854619138809
LOC100128288,0.7204115138480449
H2AFB1,0.7203261210066942
HBB,0.7202937721090215
CTLA4,0.7199006844761131
HSP90AB4P,0.7196364192006075
ANKRD42,0.7195407715373471
FXYD3,0.7185454994974012
C17orf67,0.7182439087890262
TCEAL2,0.7180901120004766
KCNK12,0.7178713780964132
AR,0.7177623852595062
CCL3L1,0.717575123376452
LOC101929094,0.7172241314989747
LOC102723885,0.7171581283208937
SCARNA5,0.7168597821507671
WNT10B,0.7168019773438227
KRT86,0.7163426822120572
ASB2,0.7160882470361077
OVGP1,0.7156843389154375
CLECL1,0.7153011494890104
WASH7P,0.7151335260486893
P2RX5-TAX1BP3,0.7146217507472389
LOC101928021,0.7145610807197831
SYNGR3,0.7144451438142808
HIC1,0.714369369184274
RNU5E-1,0.7135775930697783
LOC101929336,0.7134440297136289
ZBTB20-AS1,0.7132981475173603
DBH-AS1,0.7129773232240862
C1QC,0.7117601436865425
GNMT,0.7116779357898805
MEF2BNB,0.7112448712836624
SEMA3E,0.7106321473299301
RAB12,0.7104437068186958
LOC100288778,0.7101988368820371
ZFPM1,0.710078452215939
TNFRSF18,0.7099242032730796
CDYL,0.7098875683687587
SPRY1,0.7096095965745304
ABCA6,0.7090910143642651
IGFBP6,0.7089844232424054
DDAH2,0.7086127855072579
ANKRD28,0.7085987781829484
GLRX5,0.7080993472617142
IFIT2,0.7080404726084844
SPATA33,0.7076628565987801
GADD45G,0.7072634671834196
MTMR9LP,0.7071237023133471
IGFBP4,0.7065375901947579
PRR5,0.706505640479342
LOC100507424,0.7060104473223505
LOC101060400,0.7057247482298858
LINC00152,0.7055396402283453
LZTS1,0.7054413127467589
IER5L,0.7053465476357392
IL21-AS1,0.7051919818064911
MAP1LC3A,0.7050741643931061
SRSF12,0.7048877188472265
LOC102724017,0.7042037730222597
OSTCP2,0.7030378335408022
RFNG,0.7022327661706425
FLJ40194,0.702034841770056
METRNL,0.7015831415063944
CD9,0.7013190692005107
FBXL6,0.7010580654899848
TESK1,0.7008373224316243
RPL29P2,0.7003780670288986
LOC102723694,0.7003094370045448
USP12-AS2,0.7001199711057126
FAM35DP,0.6994959092407719
LOC102725391,0.6994523624294594
LOC102723437,0.6982672792264071
PGLYRP2,0.6980396270988436
UBALD2,0.6975343143878634
LOC101927180,0.6975310878222759
POTEM,0.6973488431493877
RPL13AP20,0.6966133763272677
SNORD3C,0.6961501366694103
CD40LG,0.6959355780982416
DBIL5P,0.6955249822558757
POTEI,0.6951980841491635
HHIPL1,0.6950515066946988
LOC100507316,0.6949465321663862
GPR35,0.6944464570671499
LOC101929918,0.6942641868541647
RNU5A-1,0.6941030023560758
TMED10P1,0.6940344943566299
CCDC61,0.6937513729221031
LOC102723407,0.6934580184220455
PDXP,0.6931887151259245
UPK3B,0.692781536926909
SNORA67,0.692565870672274
FLJ13224,0.6924701246323437
LOC102724705,0.6924450489867384
LOC100505564,0.6916375780096723
HRAS,0.6914714453542723
FGFBP2,0.6906194466369829
DDTL,0.6904517484682299
MT1A,0.6894876485896357
LOC102723571,0.6894270239667968
MIR181A2HG,0.6892204963372398
RNU2-2P,0.6892151130523502
C1QB,0.6891108545926831
STK31,0.6883108072704779
LOC440311,0.688253288134248
KLRD1,0.687998164321609
LOC102724336,0.6874848840462948
DYNLL2,0.6873312717140013
TSR3,0.6869879759190863
LOC101927507,0.6865051422771832
CTSK,0.6858263281198541
TEPP,0.6854791918510942
PM20D1,0.6847653338428942
LOC102724995,0.6843681153357787
GUCY2D,0.684120740577755
KLRC2,0.684018613297293
TNFRSF9,0.6839921726753926
MT1IP,0.6836155688102731
HBD,0.6833590970480703
MT1HL1,0.6833200254293097
SMIM24,0.6830275052390874
HES6,0.6826881237005199
WNT10A,0.6814642867110252
TMEM183B,0.6814569235956534
RPSAP52,0.681106206983666
NCR3,0.6802888576646383
MXRA7,0.680228108179103
RASA4B,0.6793399125228597
LOC407835,0.679289926769315
GOLGA8S,0.6785694775242304
HIST2H2AA4,0.678518817322939
CTAGE1,0.6781073493335571
PIN4P1,0.6778103653019371
MT1E,0.6777890468883793
FABP5P3,0.6771491558388764
KIR2DL4,0.6771036802772757
GREB1L,0.6770906661789605
C10orf10,0.6762474598765454
DBNDD1,0.6759912028403433
SLX1A-SULT1A3,0.6754072786567304
GIPC1,0.6752723446487087
LYZ,0.6752059895848468
PYCARDOS,0.6747703426910433
ATP5L2,0.6745617283409686
SLC10A1,0.6743493567588466
NPIPB3,0.6739978607009359
RPLP0P2,0.6728474618955375
CXCL8,0.6723461050618036
P4HTM,0.6720556403764248
PRPS1L1,0.6720169584806259
IFI27,0.6720149625693419
LINC01480,0.6710108110890062
LOC284412,0.6710058071218534
SPON2,0.6709518030597142
LOC102724667,0.6705916290444011
HLA-DRB6,0.6700526648908013
HIST1H4I,0.6700034283134352
LOC390956,0.6696961733791036
OPRM1,0.669638459381393
LOC441455,0.6690904956543544
CALY,0.6690830852425067
LCNL1,0.668590061101901
SCGB3A1,0.6683133710421704
TMEM238,0.6681602335664951
IFNG,0.6679811255958902
LOC100996756,0.6677439980923402
SMIM2-IT1,0.667345497850727
LOC101930233,0.6671324877661801
LOC101929786,0.6669710961095265
SLC16A8,0.6663781808658407
HOXB-AS1,0.6660913201719273
ARL4D,0.6659806615531382
ZNF559-ZNF177,0.6657896641944155
SNORA21,0.6655688861366628
NACA2,0.6654737549509194
VIT,0.6652862121267983
MIR4674HG,0.6650414509720342
MS4A7,0.6643110098734458
GRM2,0.6641807818647785
LOC100996717,0.6641045181892106
MT1L,0.6638778678010072
MIR600HG,0.6635892949746655
PTCH2,0.6633390843199454
ELK2AP,0.6630888547466349
PPP1R2P3,0.6628242593417275
URGCP-MRPS24,0.6624923875376071
SLC9A5,0.6622842149366176
GeneID:100506454,0.6619302462189457
LOC102724835,0.6613007102598815
LINC01260,0.6605585784183744
SERPINH1,0.6604991437748696
PXDC1,0.660473432464628
LOC101928103,0.6602888503998996
LOC102723977,0.6599657681728649
LOC102724149,0.659147403871464
FAM89B,0.65902950605407
KLK14,0.6585066491883107
C7orf55,0.658235333900104
RPS7P5,0.6580480058019835
UBXN11,0.6578826109716079
IGJ,0.6577128686491654
ZDHHC23,0.6572839605572515
CD8A,0.657269216353847
NFKBID,0.6569702051952689
LOC101059954,0.6569505118886239
