gene,attribution
ANXA2P2,0.012610187874008234
LOC102724850,0.01260153769220025
STMN1,0.012554111938010691
CD70,0.012190925698826904
NACAP1,0.012174699815072954
MIF-AS1,0.012044066501472231
CPA5,0.012034082791830542
TAF10,0.011866996665341155
RPL39L,0.011796664928563743
HLA-DRB1,0.011745270811597291
FAM89B,0.011654042455298866
EHBP1L1,0.011575286811552874
LOC102725018,0.011542910064384872
PDE7B,0.011535736744597902
CFAP20,0.011409824583699067
LOC102724614,0.011351692100857397
BAG3,0.011259298483175957
LOC390956,0.011258335737543269
LOC102724828,0.010985333049884867
OSM,0.010982172782256609
IGFBP4,0.010910958330656825
NACA2,0.01089225721170067
TUBB2A,0.010889775842736742
MAP1LC3A,0.01081527414564885
LOC101930071,0.010805958472864322
MZB1,0.010783370610807577
RPSAP9,0.010606017903876344
DDAH2,0.010590216798825507
CD81,0.01048174871631878
LOC100653296,0.010447674247367348
ZNF414,0.010279264425538195
BMS1P20,0.010250750872998825
RGS16,0.010250218425531041
HSPA6,0.010222103526858149
PPP1R35,0.010176727808857207
FANK1,0.010156763877227045
PGLYRP2,0.010087459339077759
CH25H,0.010025427409366728
LAIR2,0.009995002850338676
RPL23P8,0.009955239978340464
TCEA2,0.009885372709122412
EIF5AL1,0.009848568507435377
LOC100996747,0.009765982953031924
SERPINH1,0.009700086522727556
LOC101930154,0.009630534231873367
KIR2DL4,0.009566665142839246
GLI4,0.00956294692299443
MAP2K2,0.009475981590212939
OTUD5,0.009312430197259526
LOC100507316,0.00926623342352166
SNURF,0.00913669555911896
TMEM191B,0.009107108727604655
LOC730257,0.009083960099315164
NBL1,0.009031245539161282
GEM,0.008997512429233938
CLECL1,0.008986081997065763
IL2RA,0.008973866289129453
TRMT5,0.008926410279975453
CRTAM,0.008867827375796389
RNU4ATAC,0.008859768529263753
UBXN11,0.00884963285013286
PAM16,0.008780234476155535
CCL3L1,0.008776879527870323
MT1L,0.008716252758590014
PHLDA2,0.00866268987834775
CBWD1,0.008467780349126168
S100B,0.00843227541858313
GTPBP6,0.008372146525627459
LOC102724428,0.008315660778136788
TSC22D1,0.00824265275040841
SPATA33,0.008146724460159111
LINC01480,0.008123518625303977
HIST2H2AC,0.008073083629138738
RMRP,0.008067980925049964
LIN7B,0.008035764034428027
SKP1P2,0.007925500060390032
MS4A6A,0.007915804652329394
GIPC1,0.007894201532461677
NFKBID,0.007851682085592138
RNU2-2P,0.007705357210936619
CYB5D2,0.007567766408365737
CD200,0.007435035315924736
EGR2,0.0073177690034790304
MMP23B,0.007239664422513148
FAM24B,0.0072386658396385965
RNF220,0.007066521276529632
NPIPB11,0.007065653852694876
LOC100653061,0.007053282982757239
HRAS,0.006968554486921558
LOC102724017,0.0069018840405511055
KRT18,0.006861203351339177
LOC101929786,0.0068211881346286075
BRI3,0.006808653258618149
SYCE1L,0.006808521185056651
ZBED2,0.006769315809645158
BEX5,0.006756590038776309
MT1DP,0.006748897090558164
IL10,0.006722683047702673
PDCL3P4,0.006703689898555406
RPS26P11,0.006677364772432212
LOC100996717,0.006670931424255314
CRIP2,0.006661866855343471
CAPN10,0.006583638323431575
TNFRSF9,0.006541548978889966
DYNLL2,0.006492689125344696
LOC101930279,0.006474385734648205
ID1,0.006385381805513214
LOC613037,0.006337412590797551
STX1A,0.006272617553158515
SPSB1,0.0062262694981221976
GeneID:100288102,0.006220564965786164
NDUFC2,0.006153046674659222
IL22,0.006112383788136435
RNU5A-1,0.006109834208324257
AARSD1,0.006078968635754417
LOC101929796,0.0059408433072573345
GNG8,0.00593700456453725
PDXK,0.005920678436272084
TSR3,0.005896562114695121
CHPT1,0.005865329652184052
PIN4P1,0.005847634231820301
CEBPD,0.00582987150265925
WFDC2,0.00582973340018271
KRT86,0.005666329508956666
ZNF296,0.005651034190294711
ANKRD37,0.005624433293038895
ANKRD42,0.005613586103899171
RASD1,0.005518901620438254
LOC101930085,0.005502925033452869
NAALADL1,0.005453543058221217
LOC101929561,0.005388692421357709
KLRC1,0.0053883235254731715
GLRX5,0.005363315430921125
IFI30,0.0053355846117333705
MARCH2,0.005316488169062996
HLA-J,0.0052513180120575785
HLA-DRB6,0.005173048968797253
HSP90AB4P,0.0051367720433734675
SMARCD3,0.0051346789433740206
CENPV,0.005113137868723137
NPIPB4,0.005019489983603054
IZUMO4,0.0049243445294735915
SAP25,0.00485367744959677
IER5L,0.004775982877404361
PIPSL,0.004752478150010116
NUDT8,0.004749494972595773
TPSB2,0.004732828886360696
MT1G,0.004651726927259763
C8orf82,0.004651235751726284
LINC01353,0.004597528967120719
CD79A,0.0045085982131164316
DNLZ,0.004446987704936292
GNG4,0.004444379451657576
MEF2BNB,0.004443629246844102
HILPDA,0.0044296223724053195
C12orf60,0.004425684913995653
WASH1,0.004419864650313893
MTRNR2L8,0.004414960895802688
RPS10P7,0.00441381967017466
LOC606724,0.0044097681256444945
TMEM244,0.004399977111268063
HIC1,0.004396711192610806
RFNG,0.004393942865211842
ENTPD3-AS1,0.004346210001701978
RPLP0P2,0.004296579622053241
RNU5B-1,0.004272971589300223
MXRA7,0.004269564327647686
HIST1H4J,0.004254869581854031
SAMSN1-AS1,0.004224398645259614
PCSK1N,0.004216324152784851
PTCH2,0.0041601293370488865
TMEM161B-AS1,0.004157863161507857
MRGBP,0.004127809959028165
NUDT3,0.00409376023250758
DTX2P1-UPK3BP1-PMS2P11,0.004083371231788874
MYL5,0.004082441117491417
SOX4,0.004035557362094349
LOC102723997,0.0040283983923306834
MMP23A,0.004027434582527288
FXYD2,0.003993005783527888
IGFL2,0.003986718984451587
NPIPA1,0.0039645625771063805
LOC440311,0.0039227307988265485
LOC391722,0.003921130208485509
LOC101927180,0.00391261506071436
LOC100996720,0.003901687319706344
FMO5,0.0038838122859234632
HES4,0.003858407341231564
DBH-AS1,0.0038263507293136924
LINC01260,0.0038122221505115027
AGER,0.0038034738442198845
SPON2,0.003758680773538116
CSF2,0.003757365611886721
HLA-DRB3,0.0037252829508804784
PPP1R2P3,0.0036901977368396124
HIST1H2BJ,0.003682708117251106
VCAM1,0.003650215497412128
LOC441454,0.0036287535584488017
TPSAB1,0.0035933478073225116
C17orf67,0.0035931709554529287
B3GALT6,0.003533302150160032
LOC102724336,0.0034905254478737185
TYROBP,0.003480022751784696
LOC285074,0.0034755025074919605
ZNF525,0.003469721095278646
LOC101929289,0.0034569396982808364
DBH,0.0034559001338643745
FAHD2CP,0.0034383531128910883
FBXO2,0.0034315553490622355
G0S2,0.0033933263595131856
TMEM238,0.0033884422473577577
SYNGR3,0.003353945744192081
RNVU1-6,0.0033352548771165853
FTH1P3,0.003309436508022352
LYL1,0.0032907614859591103
CST3,0.0032906257118178748
TMEM183B,0.003283688532561849
BRICD5,0.0032400775177266992
RNU5E-1,0.0032238603731975634
GPR35,0.0032092823326129493
AK1,0.0032084629946064354
ZNF446,0.0031771757815747493
NPIPB3,0.003171385962863172
CCDC61,0.0031700218191638143
HAR1A,0.003162516365417226
TEPP,0.003155152702487104
EGR4,0.003152347602309049
LOC728392,0.003073224105140885
THBS1,0.003060368786614861
LOC101060400,0.003053608991486977
LOC102724105,0.003047506336898016
KLRC4-KLRK1,0.003041371426943859
LINC01061,0.0030001744431191846
SRRM5,0.0029965899318898205
IGLL5,0.0029905702322712245
WNT10A,0.0029704073394010355
LOC102723897,0.0029554236595976204
CDYL,0.0029452850408337103
IFNL1,0.0029290554514193475
SNORA67,0.00290774025577701
LOC100288778,0.0028891187651030564
AIM1L,0.0028844375190336686
IGFBP6,0.0028823311621645736
ANKRD9,0.0028768999364769073
LOC101060091,0.0028659969763079173
LOC115110,0.0028567080954152693
FBXL6,0.002855902379163325
LOC100996919,0.0028532867773505464
C19orf83,0.0028518753784557587
LINC01135,0.0027882613271232814
NPIPB5,0.0027868350480828234
OXT,0.002777992832883116
LOC728026,0.002773223913511823
ECI1,0.0027731818503632473
APOA1,0.0027557522886175268
MEF2BNB-MEF2B,0.0027289188971973814
HBD,0.002714488240791767
LOC389834,0.0026729639824432474
PYCARDOS,0.002660998151511809
LOC102467081,0.0026496329641162585
CITED4,0.0026354552050620018
SH2D1B,0.0026203475899010107
TMEM191C,0.002618103750628803
LOC102724217,0.0025975140138761277
SMG1P1,0.0025923495973548074
SLC25A53,0.002586549448069825
ZNF771,0.0025814981484145625
PKD1P1,0.0025729330993394814
IL1R2,0.0025527516976816406
IFIT2,0.0025475400190944305
PPIAL4B,0.002541813996874106
FCER1G,0.002532723529215718
ANP32AP1,0.0025198620704616572
RPL29P2,0.0025198536934659573
OPLAH,0.0025019504762199864
CTRL,0.0024805416714294513
CAPN3,0.002478912130010216
KCNK12,0.002478029850393942
SCARNA5,0.0024723712158368663
PODXL2,0.0024720657655882545
CLDND2,0.0024705223504050446
HIST1H4I,0.0024697047365952554
C2CD4D,0.002456348042746455
HES6,0.0024541244728316465
BAMBI,0.0024535971414892488
IL21,0.002448116332790463
CKLF-CMTM1,0.0024339712606124635
PMS2P3,0.002426509804597355
P2RX5-TAX1BP3,0.002419520692921647
BOLA2B,0.0024147596999824577
METRN,0.0024140072961888483
LOC101060363,0.0023728913833274555
CRSP8P,0.002371768598244362
FUNDC2P2,0.0023595607378742063
CDKL4,0.002356855367211561
LOC100505585,0.0023442039660096546
MCTP1,0.002340433456192575
LOC101928054,0.0023287848431639423
SCARNA2,0.0023168600609201682
LOC101928530,0.0023064206689352392
CBWD6,0.0023033828934440168
RGS4,0.0023000418205017656
TESK1,0.0022709906603751865
URGCP-MRPS24,0.002264177333246385
ACTG2,0.0022523369727638115
RPL13AP20,0.0022516494085589047
HNRNPA3P1,0.0022456368773124406
C10orf10,0.0022283272197542005
LOC102725214,0.0022114497242761806
HOXB-AS1,0.002192617249750439
HRASLS2,0.002185021160436825
CGA,0.002181353656824845
UNQ6494,0.002168934005930097
HBB,0.0021531243394781094
ZFPM1,0.002135949156793656
RPL10L,0.0021318656324095043
