gene,attribution
NBL1,0.030841294555283918
CLECL1,0.030828269325669247
LOC101930071,0.030812842057691418
LOC100507316,0.03080572847557056
LOC102724828,0.030624436943527785
RNU4ATAC,0.030474417563314204
LOC101059954,0.030309544821369633
CPA5,0.03026882109790717
UBXN11,0.03024792048959352
LOC101930154,0.03012492505802445
TSC22D1,0.030002923384535137
SKP1P2,0.029726024451742657
EHBP1L1,0.02963172423552095
LOC100996747,0.029341068472379522
LOC730257,0.02930538712413377
PGLYRP2,0.029077148993233593
IL2,0.029036942480753097
IL2RA,0.02891060883435304
EIF5AL1,0.028901298079662997
IGJ,0.028614881037548022
GEM,0.028527755286805755
NFKBID,0.028461329692074138
IGFBP4,0.02834915010730019
GTPBP6,0.02834421327158298
RGS16,0.02822731719354903
ZBED2,0.028133975669504225
PDE7B,0.028132235151800158
RPL23P8,0.028013613801785554
RPS26P11,0.027946514394853662
LOC390956,0.02791668976922154
TNFRSF9,0.027824079345233472
MT1L,0.027290500701859424
OSM,0.027208712057972432
LINC01480,0.02719726372796791
TMEM191B,0.026822837187525404
PPP1R35,0.026484004711160344
PHLDA2,0.02647419950137482
LOC101928152,0.026201627797065342
CBWD1,0.02619434810454799
GLI4,0.025344905713746882
GIPC1,0.025306517625134386
NPIPB11,0.02483228615542116
CYB5D2,0.024613461715556825
PAM16,0.02441059148922774
LOC613037,0.024366979870658157
RNU2-2P,0.02404890985070909
LOC101930279,0.02387902144127656
NAALADL1,0.023553457058235003
DYNLL2,0.02354837054556822
FAM24B,0.02335487785271958
LOC102724428,0.023044830645300555
LOC102725018,0.02287244028185196
LOC100996717,0.022818948810050747
SERPINH1,0.02271796027353741
TRMT5,0.02270493715194145
FANK1,0.022669438308972167
LIN7B,0.02255228397000945
HIST2H2AC,0.022500508303503634
CH25H,0.0223913943506678
CD200,0.022097882212933927
RNU5A-1,0.02177320895461937
MS4A6A,0.02174893338710123
SYCE1L,0.021693419055186115
LOC100653061,0.021614220816191482
